User,Tweet
@elonmusk,The @SpaceX Starship launch tomorrow morning will be live-streamed exclusively on 𝕏!
@rihanna,#fentyhair
@XDevelopers,Calling all #developers! Innovate with our real-time and historical data on the X API. Get started with Pro
@narendramodi,I thank His Majesty the King of Bhutan for his call and warm wishes. Bhutan-Bharat partnership is unique and exemplary. I look forward to continue working together and taking this extraordinary partnership to higher levels.
@randomsena,Big Breaking 7 Independent Mps extends Support to NDA - Sources The Game has Just Begun
@SabrinaAnnLynn,"Tomorrow, 8pm EST"
@DrAMSinghvi,Recounting should take place at many seats like Mumbai North West that have fallen in NDA's kitty by just a few votes. Huge question marks re these hyper close contests and restoration of credibility needed.
@rohini_sgh,Can’t forget the lotus toy with the light and sound that Modi and Yogi and everyone kept waving all over Uttar Pradesh. Noida anchors were super impressed with that too
@sardesairajdeep,"Election Factoid: Congress has emerged as the number one party in Maharashtra after more than a decade despite contesting fewer seats .. even more interesting, all the constituencies where Congress won saw Rahul Gandhi’s Bharat Jodo and Nyay Yatra pass through, especially in…"
@ethermail_io,"Introducing Paymail – your simplest way to crypto transactions. With Ethermail, use your email for easy sending and receiving of digital assets. Say goodbye to the complexity; hello to convenience. Join Ethermail and embrace Paymail now!"
@pbillore141,Market is recovering ! Make in India Stay in India Invest in India
@Jairam_Ramesh,"Inspite of the manipulated delimitation exercise in Assam, the Indian National Congress retained three MP seats. Inspite of the CM's best efforts to suppress the Congress, it received 37.48% of the vote in Assam, almost double its previous vote share and surpassing the BJP's…"
@rohini_sgh,"Prashant Kishor had said Akhilesh Yadav isn’t a leader, Rahul Gandhi should resign on moral grounds, Nitish Kumar is irrelevant, BJP would be the number 1 party in West Bengal, BJP would exceed it’s 2019 tally and everyone is a loser except Kishor and the BJP. Now with Nitish…"
@netanyahu,I extend my warmest congratulations to Prime Minister Narendra Modi on being reelected for a third consecutive term. May the friendship between India and Israel continue to surge towards new heights. Badhaai Ho !
@ARanganathan72,"The seat was Baharampur, where Muslims make up 52% of the population. Adhir Ranjan Chowdhury, a Bengali, was a five-time Member of Parliament. Yusuf Pathan, a Gujarati, was contesting for the first time. Adhir Ranjan Chowdhury lost by 85,000 votes."
@StockheadAU,New data suggests PharmAust's MPL significantly reduces the risk of death by 91% in MND/ALS patients.
@iMehreenAlam,"Never forget the contribution of @zoo_bear . He isn’t as privileged as Dhruv Rathee, yet he didn’t give up."
@yadavakhilesh,"विश्व पर्यावरण दिवस की हरी-भरी शुभकामनाएँ! प्रकृति की समृद्धि, जीवन की समृद्धि का आधार होती है। #विश्वपर्यावरणदिवस #WorldEnvironmentDay"
@DrSJaishankar,Happy World Environment Day! A great initiative of PM @narendramodi #Plant4Mother. My mother would have appreciated the Kinnow sapling that I have planted today. Mission LiFE unites pro planet people; but it can be equally personal for each of us.
@SecBlinken,Congratulations to @narendramodi and the National Democratic Alliance on their victory in the 2024 Lok Sabha general elections. The U.S. looks forward to advancing our partnership with the Indian government and commends the estimated 650 million voters who exercised their right…
@erbmjha,My Wishlist: — BJP should ask Mayawati to join the NDA alliance for the next 5 years. — This will be beneficial for both BJP and BSP all over India. — Reservation and Constitution issues will be resolved with Mayawati in NDA. — BJP and BSP votes are always transferable.
@MrSinha_,"In 1984, Rajeev Gandhi won 414 seats due to sympathy but after that? INC under his leadership won 197 seats in 1989. And then -245 in 1991 -140 in 1996 -141 in 1998 -114 in 1999 -145 in 2004 -206 in 2009 How many times they touched 272 by own after 1984? Never. Modi ji did twice"
@MeghUpdates,"Only Modi ji matters to us. Even if they offer me the post of Prime Minister, I will not go with Congress. The whole world has seen what Modiji has done for the country. We can reject even the biggest offer for Modi ji. : Pawan Kalyan, President, Janasena Party"
@Sudanshutrivedi,"हमारे लिए सिर्फ मोदी जी ही मायने रखते हैं हम मोदी जी के लिए बड़े से बड़ा प्रस्ताव भी ठुकरा सकते हैं। पूरी दुनिया ने देखा है कि मोदी जी ने देश के लिए क्या किया है - पवन कल्याण, अध्यक्ष, जनसेना पार्टी बाक़ी कांग्रेस वालों ये वीडियो देखिए"
@VlKAS_PR0NAM0,This is Hyderabad celebrating arrival of Pawan Kalyan at the big stage
@yadavakhilesh,"जनाकांक्षा का प्रतीक ‘इंडिया गठबंधन’ जनसेवा के अपने संकल्प पर अडिग रहेगा, एकजुट रहेगा और संविधान, लोकतंत्र , आरक्षण, मान-सम्मान-स्वाभिमान बचाने तथा बेरोज़गारी, महँगाई, भ्रष्टाचार के कष्ट और संकट से जनता को मुक्त करने के अपने प्रयासों को निरंतर रखेगा। इंडिया गठबंधन PDA का…"
@ANI,#WATCH | Prime Minister Narendra Modi arrives at the Rashtrapati Bhavan to attend the dinner organised by President Droupadi Murmu.
@Authory,"To all WRITERS & JOURNALISTS: You will write thousands of articles during your career. Why risk losing them? Authory will find and back up all the articles you've ever written, fully automated without you having to lift a finger. Don't wait until it's too late!"
@AskAnshul,"If you receive call claiming that it is from District Court and you have received summons, Press 9 for more details. — Don't respond. If you press 9, they will text you a link and tell you to download the summons. — Do not click, it is a malware file. Share this for awareness!"
@rashtrapatibhvn,Prime Minister @narendramodi called on President Droupadi Murmu at Rashtrapati Bhavan. The Prime Minister tendered his resignation along with the Union Council of Ministers. The President accepted the resignation and requested the Prime Minister and the Union Council of Ministers…
@erbmjha,"Let me share one interesting fact: Assam: - Congress: 37.48% vote share (3 seats) - BJP: 37.43% vote share (9 seats) - Total Muslim voters: 35% - Congress won Dhubri seat by 1,012,476 votes (80% Muslim voters)"
@MrSinha_,NDA govt under the leadership of PM Modi. Congress can celebrate 99 seats for 5 years!
@inDrive,Kyunki ab app won't fix your ride fare. You will! inDrive try karo.
@narendramodi,"Thank you for your call and warm wishes, President @RW_UNP . Sri Lanka is an important partner in our Neighbourhood First policy. India is proud to be a dependable partner for Sri Lanka. I look forward to realising our joint vision of enhancing connectivity in all its dimensions."
@BCCI,"Milestone Alert T20I runs & going strong! Congratulations, Rohit Sharma! Follow The Match http://bit.ly/INDvIRE-T20WC-24… #T20WorldCup | #TeamIndia | #INDvIRE | @ImRo45"
