User,Tweet
@TimesAlgebraIND,"REPORTER - Are you in NDA? CHANDRABABU NAIDU - ""How can we contest elections together if we are not a part of NDA? We fought this collectively & won together"" BIG BREAKING NEWS Chandrababu Naidu invites PM Modi for swearing in ceremony in Andhra on 9th June. PM Modi…"
@AMAZlNGNATURE,"if this photo reaches your timeline, everything will be okay"
@inDrive,Fare ke liye mol-bhaav karo. Pay what you think is right on inDrive!
@SabrinaAnnLynn,"Tomorrow, 8pm EST"
@DrAMSinghvi,Recounting should take place at many seats like Mumbai North West that have fallen in NDA's kitty by just a few votes. Huge question marks re these hyper close contests and restoration of credibility needed.
@bitgetglobal,"BWB Carnival is live! Win $BWB by participating the following events #Learn2Earn (20,000 BWB) Join Bitget community (10,000 BWB) Follow @bitgetglobal X (20,000 BWB) Coming soon: Trade to win 500 BWB Stake BWB to enjoy 20% APR and more! Join now"
@GabbbarSingh,Joe Biden congratulates PM Modi. Election is done finally
@PunjabKingsIPL,"𝙃𝙄𝙏𝙈𝘼𝙉 𝙎𝙃𝘼𝙍𝙈𝘼! Lightning strikes once, but this man strikes continuously. #INDvIRE #SaddaPunjab #PunjabKings #T20WorldCup"
@NewsArenaIndia,BIG NEWS - Peru becomes first South American country to adopt India's UPI system.
@rajinikanth,My Hearty Congratulations to my dear friends .. Honourable Chief Minister of Tamil Nadu M.K Stalin @mkstalin ...and Shri Chandrababu Naidu Garu @ncbn I extend my hearty congratulations to NDA #nda and most respected dear Narendra Modiji @narendramodi
@hardikpandya7,"Starting strongly Thanks for the love, New York"
@IrfanPathan,Jasprit Bumrah stating the World Cup with Man of the match award. we missed him so much in the last World Cup.
@right_livin,What's the difference between ADHD and just being distracted? Take the test now to find out!
@DrAMSinghvi,"Maharashtra results have shown which is the real Shiv Sena and the real NCP. You can't fake competence, credibility and legacy!"
@urstrulyMahesh,"Congratulations on your remarkable win, @PawanKalyan ! Your victory is a reflection of the faith and confidence people have placed in you. Wishing you a tenure filled with success in realizing your dreams for our people."
@erbmjha,"Let me share one interesting fact: Assam: - Congress: 37.48% vote share (3 seats) - BJP: 37.43% vote share (9 seats) - Total Muslim voters: 35% - Congress won Dhubri seat by 1,012,476 votes (80% Muslim voters)"
@aramco,"From conducting ecological studies to establishing a sea turtle rescue center, we continue identifying species in need of protection through our biodiversity conservation efforts #EndangeredSpeciesDay #aramco"
@MeghUpdates,Emotions of a sadhu on BJP's defeat in Ayodhya
@MrSinha_,-India after elections results -America after elections results And they lecture India on democracy..!!
@Sudanshutrivedi,ये पीड़ा/तकलीफ़ पूरे देश को हैं
@randomsena,Feeling Sad for Adharmis Their Daddy @narendramodi is going to be 3rd time Prime Minister Once Again
@WilliamsRuto,I extend my congratulations to Prime Minister @narendramodi on his historic re-election in the recently concluded elections. I also wish to congratulate the people of India for once again affirming to the world the vibrancy and maturity of their democracy. This is another…
@manojkjhadu,"पिछले 12 घंटे में “मोदी सरकार” के बदले #NDA सरकार के सुर सुने जाने लगे हैं।ये भारतीय लोकतंत्र की विजय का क्षण है। और हाँ! @NitishKumar ji और @ncbn ji कभी भी भैंस, मंगलसूत्र और मुजरे वाले विमर्श के साथ नहीं होंगे साथ रहकर भी।बाक़ी अभी देखते रहिए मोदीजी को जनमत ने झटका दिया है।"
@rishibagree,Many prominent parties from INDI Alliance are likely to abstain on the trust vote of PM Modi : Sources
@MinPres,": भारत के प्रधान मंत्री @narendramodi से उनकी चुनावी जीत पर बधाई देने के निमित्त अभी बात की। हमने सुरक्षा, जल, हरित ऊर्जा, अर्धचालक और स्वास्थ्य सेवा जैसे क्षेत्रों में अपने दोनों देशों के बीच अच्छे सहयोग को मजबूत करने के बारे में भी चर्चा की।"
@narendramodi,"Happy to speak with PM @cmprachanda . Thanked him for his warm wishes. We reaffirmed our shared commitment to bolster the deep-rooted and multifaceted partnership between India and Nepal, and agreed to sustain the positive momentum in our relations."
@right_livin,What's the difference between depression and just having a rough patch? Discover the answer with our online self-assessment. Click to get started.
@WasimJaffer14,"Take a clip of that reverse lap winning six by @RishabhPant17 and play it in the Times Square. If that doesn't get Americans into cricket, nothing will. #INDvIRE #T20WorldCup"
@AlwaysRamCharan,Congratulations to the visionary @ncbn Garu on the astounding victory!
@narendramodi,Happy to receive call from my friend President @JoeBiden . Deeply value his warm words of felicitations and his appreciation for the Indian democracy. Conveyed that India-US Comprehensive Global Partnership is poised to witness many new landmarks in the years to come. Our…
@narendramodi,"Thank you for your call and warm wishes, President @RW_UNP . Sri Lanka is an important partner in our Neighbourhood First policy. India is proud to be a dependable partner for Sri Lanka. I look forward to realising our joint vision of enhancing connectivity in all its dimensions."
@CricCrazyJohns,"India 11: Rohit (C), Kohli, Pant, Surya, Dube, Hardik, Jadeja, Axar, Bumrah, Arshdeep, Siraj."
@MeghUpdates,"Only Modi ji matters to us. Even if they offer me the post of Prime Minister, I will not go with Congress. The whole world has seen what Modiji has done for the country. We can reject even the biggest offer for Modi ji. : Pawan Kalyan, President, Janasena Party"
@erbmjha,Countries/Govts congratulate Modi Ji after winning 240 Seats: - Bangladesh - Barbados - Bhutan - China - Comoros - Czech Republic - Guyana - Iran - Israel - Italy - Jamaica - Japan - Kenya - Lithuania - Latvia - Oman - Malaysia - Maldives - Mauritius - Myanmar - Nepal - Nigeria…
@rajasthanroyals,"𝘑𝘢𝘬𝘰 𝘳𝘢𝘬𝘩𝘦 𝘴𝘢𝘢𝘪𝘺𝘢𝘯, 𝘙𝘖𝘬 𝘴𝘢𝘬𝘦 𝘯𝘢 𝘬𝘰𝘪! 600* sixes. 1 Hitman"
@RShivshankar,"Many have been talking up the Congress party's spectacular comeback. The narrative is that the Congress is back as the only ""pan-India alternative"" to the BJP. Here is data that suggests that despite a 90% (52 to 99) surge in seats in at least 16 states/UTs, the Congress…"
@theskindoctor13,"Between all this chaos, we have forgotten that Shri Arvind Kejriwal had come out on bail to campaign, and his campaign theme was ""Press jhaadu if you want me to come out of jail."" And people didn't press. Delhi didn't give even a single seat to their beloved CM. What does this…"
@iMehreenAlam,"Never forget the contribution of @zoo_bear . He isn’t as privileged as Dhruv Rathee, yet he didn’t give up."
@KiranKS,"I feel, an IPS background candidate like K Annamalai, could have won from at least ten different constituencies in Karnataka, where he served. This nationalist has so much good will here. We drink the same Kaveri water. But why do voters of Tamil Nadu behave so differently?"
@iamnagarjuna,"Congratulations to the NDA Alliance of Hon’ble PM @narendramodi Ji, @ncbn garu and @PawanKalyan Garu for their massive victory in AP!!god bless"
@MrSinha_,"-In 2004, Congress won 145 & formed govt -In 2009, Congress won 206 & formed govt So @Jairam_Ramesh wants to say that Sonia Gandhi isn't a decent woman & lacks morality?"
@erbmjha,no words to describe this feeling.
@Bybit_Official,"Win big with a Unified Trading Account upgrade! Experience the power of Bybit's Unified Trading Account (UTA) - your all-in-one solution for trading versatility. Win 10,000 $USDT Ultimate Prize! Act fast, event ends Jun 30, 2024, 11:59 PM UTC. #TheCryptoArk #BybitTrading"
@Sudanshutrivedi,"हजारों मुस्लिम महिला बेंगलुरु में “खटाखट” 1 लाख रुपये लेने के लिये “खटाखट” लाइन में लग गई ??? राहुल गांधी ने उनके खातों में हर साल 1 लाख रुपया डालने की गारंटी लिया है। राहुल गाँधी इनको ""एक लाख"" रुपये देंगे या ""धोखा"" ?? कमेंट में बताओ !"
@JPNadda,"Heartiest congratulations to Hon. PM Shri @narendramodi Ji on being unanimously chosen as the leader of the NDA. Over the past decade, under PM Modi Ji's visionary leadership, we've experienced remarkable growth and development through a holistic approach. The NDA remains…"
@GovindDotasra,"राष्ट्रीय महिला आयोग की पूर्व अध्यक्ष श्रीमती ममता शर्मा जी, कांग्रेस विधायक श्री हाकम अली जी, विधायक श्री पूसाराम गोदारा जी, RTDC के पूर्व चेयरमैन श्री धर्मेंद्र राठौड़ जी एवं कांग्रेस नेताओं ने पीसीसी पहुंचकर जीत की बधाई दी व खुशी साझा की। इस दौरान हनुमानगढ़-श्रीगंगानगर से…"
@NANDAMURIKALYAN,"చరిత్రలో నిలిచిపోయే ఘనమైన విజయాన్ని సాధించిన @ncbn మావయ్యకీ, @JaiTDP నాయకులకు మరియు కార్యకర్తలకు నా హృదయపూర్వక అభినందనలు! మీ కృషి మరియు పట్టుదల ఆంధ్రప్రదేశ్ రాష్ట్రం యొక్క భవిష్యత్తుని ఖచ్చితంగా మెరుగుపరుస్తుందని ఆశిస్తున్నాను. వరుసగా మూడవ సారి హిందూపురం శాసనసభ్యుడుగా అఖండ విజయం…"
@OnePlus_IN,"#OnePlusNordCE4, the do-it-all phone."
@ShivAroor,NDA unanimously chooses Narendra Modi as alliance leader. #CoalitionPoliticsIsBack
@jayantrld,United for the nation! #NDA
@rishibagree,Is Jairam Ramesh saying that Sonia Gandhi have no decency and morality in her as she formed UPA1 with 145 seats
@AadeshRawal,"कांग्रेस अध्यक्ष मल्लिकार्जुन खरगें का दूसरी पार्टियों को राजनैतिक संदेश, “हम यहाँ से यह भी संदेश देते हैं कि INDIA गठबंधन उन सभी राजनीतिक दलों का स्वागत करता है जो भारत के संविधान के प्रस्तावना में अटूट विश्वास रखते है और इसके आर्थिक, सामाजिक और राजनीतिक न्याय के उद्देश्यों से…"
@smritiirani,"For Maa and Motherland Today, on World Environment Day, I'm happy to join the #एक_पेड़_माँ_के_नाम campaign initiated by PM @NarendraModi ji. I urge everyone to plant a tree in the coming days & share your selfie with #Plant4Mother or #एक_पेड़_माँ_के_नाम as a tribute to…"
@iamharmeetK,A Picture telling Its Own Story
@vijaythottathil,NDA meet or any funeral meet?? Why is he so upset? His arrogance doesn’t allow coalition but to survive he has to now!
@erbmjha,HOW SHAMELESS CAN ONE BE? Congress got ZERO seats in 9 states across India and ONE in 4 other states. कोई इतना बेशर्म कैसे हो सकता है भाई?
@BCCI,Topping The Charts - the Rohit Sharma way! Most Wins as the #TeamIndia captain in Men's T20Is #T2OWorldCup | #INDvIRE | @ImRo45
@mufaddal_vohra,VIRAT KOHLI at the New York Stadium with Indian flag in the background. - What a frame!
@YoursSatya,An edit by Akira Nandan for his Nanna @PawanKalyan . Posted by Renu Desai madam on Instagram.
@ChouhanShivraj,विदिशा
@MumbaichaDon,"Modern Day ""Chanakya"" . @AmitShah Ji has started his magic! 7 Independents & 3 MPs from Small parties to extend support to NDA Govt after Mota Bhai initiated dialogue. They have expressed full confidence in leadership of PM . @narendramodi Ji & said they want Strong Govt at…"
@newt0nlaws,Two Alliance Partners of BJP on which Modi and his Chair depends!! Tough time coming for Bhakts!!
@abhijeet_dipke,"“Remote Controlled PM” Modi came to power by denouncing Manmohan Singh as a 'remote controlled PM'; ten years later, he meets the same fate. You become what you hate :)"
